CODMUN,CIDADE,POPULAÇÃO
230010,Abaiara,10496
230015,Acarape,15338
230020,Acaraú,57551
230030,Acopiara,51160
230040,Aiuaba,16203
230050,Alcântaras,10771
230060,Altaneira,6856
230070,Alto Santo,16359
230075,Amontada,39232
230080,Antonina do Norte,6984
230090,Apuiarés,13925
230100,Aquiraz,72628
230110,Aracati,69159
230120,Aracoiaba,25391
230125,Ararendá,10491
230130,Araripe,20685
230140,Aratuba,11529
230150,Arneiroz,7650
230160,Assaré,22445
230170,Aurora,24566
230180,Baixio,6026
230185,Banabuiú,17315
230190,Barbalha,55323
230195,Barreira,19573
230200,Barro,21514
230205,Barroquinha,14476
230210,Baturité,33321
230220,Beberibe,49311
230230,Bela Cruz,30878
230240,Boa Viagem,52498
230250,Brejo Santo,45193
230260,Camocim,60158
230270,Campos Sales,26506
230280,Canindé,74473
230290,Capistrano,17062
230300,Caridade,20020
230310,Cariré,18347
230320,Caririaçu,26393
230330,Cariús,18567
230340,Carnaubal,16746
230350,Cascavel,66142
230360,Catarina,18745
230365,Catunda,9952
230370,Caucaia,325441
230380,Cedro,24527
230390,Chaval,12615
230393,Choró,12853
230395,Chorozinho,18915
230400,Coreaú,21954
230410,Crateús,72812
230420,Crato,121428
230423,Croatá,17069
230425,Cruz,22479
230426,Deputado Irapuan Pinheiro,9095
230427,Ererê,6840
230428,Eusébio,46033
230430,Farias Brito,19007
230435,Forquilha,21786
230440,Fortaleza,2452185
230445,Fortim,14817
230450,Frecheirinha,12991
230460,General Sampaio,6218
230465,Graça,15049
230470,Granja,52645
230480,Granjeiro,4629
230490,Groaíras,10228
230495,Guaiúba,24091
230500,Guaraciaba do Norte,37775
230510,Guaramiranga,4164
230520,Hidrolândia,19325
230523,Horizonte,55187
230526,Ibaretama,12922
230530,Ibiapina,23808
230533,Ibicuitinga,11335
230535,Icapuí,18392
230540,Icó,65456
230550,Iguatu,96495
230560,Independência,25573
230565,Ipaporanga,11343
230570,Ipaumirim,12009
230580,Ipu,40296
230590,Ipueiras,37862
230600,Iracema,13722
230610,Irauçuba,22324
230620,Itaiçaba,7316
230625,Itaitinga,35817
230630,Itapajé,48350
230640,Itapipoca,116065
230650,Itapiúna,18626
230655,Itarema,37471
230660,Itatira,18894
230670,Jaguaretama,17863
230680,Jaguaribara,10399
230690,Jaguaribe,34409
230700,Jaguaruana,32236
230710,Jardim,26688
230720,Jati,7660
230725,Jijoca de Jericoacoara,17002
230730,Juazeiro do Norte,249939
230740,Jucás,23807
230750,Lavras da Mangabeira,31090
230760,Limoeiro do Norte,56264
230763,Madalena,18088
230765,Maracanaú,209057
230770,Maranguape,113561
230780,Marco,24703
230790,Martinópole,10214
230800,Massapê,35191
230810,Mauriti,44240
230820,Meruoca,13693
230830,Milagres,28316
230835,Milhã,13086
230837,Miraíma,12800
230840,Missão Velha,34274
230850,Mombaça,42690
230860,Monsenhor Tabosa,16705
230870,Morada Nova,62065
230880,Moraújo,8070
230890,Morrinhos,20700
230900,Mucambo,14102
230910,Mulungu,11485
230920,Nova Olinda,14256
230930,Nova Russas,30965
230940,Novo Oriente,27453
230945,Ocara,24007
230950,Orós,21389
230960,Pacajus,61838
230970,Pacatuba,72299
230980,Pacoti,11607
230990,Pacujá,5986
231000,Palhano,8866
231010,Palmácia,12005
231020,Paracuru,31636
231025,Paraipaba,30041
231030,Parambu,31309
231040,Paramoti,11308
231050,Pedra Branca,41890
231060,Penaforte,8226
231070,Pentecoste,35400
231080,Pereiro,15757
231085,Pindoretama,18683
231090,Piquet Carneiro,15467
231095,Pires Ferreira,10216
231100,Poranga,12001
231110,Porteiras,15061
231120,Potengi,10276
231123,Potiretama,6126
231126,Quiterianópolis,19921
231130,Quixadá,80604
231135,Quixelô,15000
231140,Quixeramobim,71887
231150,Quixeré,19412
231160,Redenção,26415
231170,Reriutaba,19455
231180,Russas,69833
231190,Saboeiro,15752
231195,Salitre,15453
231200,Santana do Acaraú,29946
231210,Santana do Cariri,17170
231220,Santa Quitéria,42763
231230,São Benedito,44178
231240,São Gonçalo do Amarante,43890
231250,São João do Jaguaribe,7900
231260,São Luís do Curu,12332
231270,Senador Pompeu,26469
231280,Senador Sá,6852
231290,Sobral,188233
231300,Solonópole,17665
231310,Tabuleiro do Norte,29204
231320,Tamboril,25451
231325,Tarrafas,8910
231330,Tauá,55716
231335,Tejuçuoca,16827
231340,Tianguá,68892
231350,Trairi,51422
231355,Tururu,14408
231360,Ubajara,31787
231370,Umari,7545
231375,Umirim,18802
231380,Uruburetama,19765
231390,Uruoca,12883
231395,Varjota,17593
231400,Várzea Alegre,38434
231410,Viçosa do Ceará,54955
